lei_alias,ald_alias,score,lei
wwkwarmwalzwerkkonigswinter gmbh,wwkwarmwalzwerkkoenigswinter gmbh,0.965814393939394,391200NWS3UCKLY1M639
hiracorenewableenergyprivate ltd,hiracorenewableenergyprivateltdhrepl,0.9659722222222222,335800I6FG1V36IPE134
africanaenergia sa,africanaenergiasl,0.9660130718954247,959800NF7YXKVP4KM332
elecdeycarcelen sa,elecdeycarcelensl,0.9660130718954247,959800C2G16LXGDCK557
centralriverspowerne llc,centralriverspowerma llc,0.9666666666666666,254900K34TPP8VV9YM87
enkraftwerk gmbh,eonkraftwerke gmbh,0.9666666666666666,391200S27KF6NKT1F233
igssolar llc,igssolarillc,0.9666666666666666,549300QMV0BO854E7B34
reiv ltd,rev ltd,0.9666666666666666,875500JK1EF2Z7ZVNM81
aesdistributedenergy inc,aesdistributedenergy,0.9666666666666667,549300B6X5XDOGP5TL33
ahlstrommunksjo ab,ahlstrommunksjo,0.9666666666666667,2138009GT3GEHSQVRJ07
confidence,confidenceep,0.9666666666666667,969500BIPFA9Z2ZQE440
ciechsodapolska sa,ciechsodapolska,0.9666666666666667,259400QBKCM31QLP7O15
capitaldynamicssca,capitaldynamics,0.9666666666666667,984500DE8C669A2C5881
firstquantumminerals ltd,firstquantumminerals,0.9666666666666667,549300I7UVBGWRYMYZ18
fveboleticespolsro,fveboleticespol,0.9666666666666667,3157001DGPP3WFRIR027
goodwillhousingsro,goodwillhousing,0.9666666666666667,3157001Q1MLANI2JNT80
granitereliablepower llc,granitereliablepower,0.9666666666666667,549300N68OPMIB7OVT84
kovokonpopovicesro,kovokonpopovice,0.9666666666666667,315700UA9BZ4CUACJW70
oliventosl,oliventoslsu,0.9666666666666667,95980020140005631706
pacificethanolmadera llc,pacificethanolmadera,0.9666666666666667,549300DQ3UBEUEZ2X113
symaxhldgs ltd,symexhldgs ltd,0.9666666666666667,984500FAA61B640DE406
thameswaterutilities ltd,thameswaterutilities,0.9666666666666667,213800JKM5UQHFJOTZ25
temporiscapitalllp,temporiscapital,0.9666666666666667,54930091FCH3IBS2MH32
torayplasticsamerica inc,torayplasticsamerica,0.9666666666666667,549300EW26XE8D6IBN35
vattenfalloy,vattenfall,0.9666666666666667,549300F7CPGDOX2FAU13
walnutcreekmob llc,walnutcreek llc,0.9666666666666667,254900XZCFW4BBN1NO23
winnebagocommunity,winnebagocounty,0.9666666666666667,549300WIUM7ZRD6OV340
solarstarcaliforniaxiii llc,solarstarcaliforniaxlvii llc,0.9667684167684168,549300DOK025NFBHMF94
hidroelectricasanandreslimitada,hidroelectricasanandresltda,0.9667861409796894,549300P434QK0U4XUJ08
preciousenergyservices ltd,preciousenergyservicespvt ltd,0.9677718832891246,335800YIN63TEV8WGK06
eolicacabanillassl,eolicacabanillas sa,0.9678362573099415,95980020140005892248
oceanstatepower llc,oceanstatepower co,0.9678362573099415,5493008JPG6UULRKTZ07
waterfordtowers llc,waterfordpower llc,0.9678362573099415,549300RGCJ4CHTPYBE19
sistemasenergeticoselgranado sa,sistemasenergeticosdelgranado sa,0.9679435483870967,95980020140005671767
greenfield as,greenfieldsa,0.967948717948718,549300WHJ8KE3KSSP392
andersonpowerproducts ltd,andersonpowerproducts,0.968,549300B6WUECKLMI2G78
enterpriseproductsprts lp,enterpriseproductsoptg lp,0.968,K4CDIF4M54DJZ6TB4Q48
freeportmcmoranoilgas llc,freeportmcmoranoilgas,0.968,5493004QB97XKSGJ5W30
newulmpublicutilities,newulmpublicutilitiescomm,0.968,5493009XOK5QZWJFUJ88
poetbiorefiningjewell llc,poetbiorefiningjewell,0.968,5493000EV55TKS6ZGN44
southernwaterservices ltd,southernwaterservices,0.968,54930007FJVKQFI3NF97
westnipissingpowergen ltd,westnipissingpowergen,0.968,5493007IEOJY0I7LC872
buzzingpinklinessro,buzzingpinklines,0.968421052631579,315700FT7L25TYGQF880
ekologickezdrojesro,ekologickezdroje,0.968421052631579,315700JS6EJMBWSZDA91
firstenergy corp,firstenergygen corp,0.968421052631579,549300RKQBVC3CGEIM62
fortmillerassocs lp,fortmillerassocs,0.968421052631579,2549004SIAGTW7MGCY19
greencoatcapitalllp,greencoatcapital,0.968421052631579,2138001YUZPQV7MYUJ34
intecgreenenergysro,intecgreenenergy,0.968421052631579,3157009BY0G05RFTL530
kallpageneracion,kallpageneracion sa,0.968421052631579,549300NG1PWEI5BZG095
mooringsfarm llc,mooringsfarmtwo llc,0.968421052631579,549300617WTVPLQFLQ05
preferenceenergysro,preferenceenergy,0.968421052631579,315700QKYZ809HWUNV70
slunecniparkdubisro,slunecniparkdubi,0.968421052631579,315700BMAZF2ENLBHF70
mitsubishimaterialsusacorp,mitsubishimaterials corp,0.9685897435897436,5493000VL2IJUFW1KL03
swkstadtwerkekaiserslautern gmbh,swkstadtwerkekaiserslautern,0.96875,529900S2M57TKU8VYD45
bluesummitiiwind llc,bluesummitwind llc,0.9688888888888888,549300TOGI8ETT70DK51
buchanan gmbh,buchmann gmbh,0.9692307692307692,3912007I21AOFU1QES32
britishsolarrenewables ltd,britishsolarrenewables,0.9692307692307692,213800UR6E1DFP7VBU67
cypresscreekrenewables llc,cypresscreekrenewables,0.9692307692307692,549300GCHBQMSFNSXT55
cityofpratt,cityofprattks,0.9692307692307692,54930065D7CBHGY5RV98
longbonco ltd,longsonco ltd,0.9692307692307692,213800L1KL1488IF6D24
orionengineeredcarbons llc,orionengineeredcarbons,0.9692307692307692,2549001Y063OYD45M245
patnaikmineralsprivate ltd,patnaikmineralspvt ltd,0.9692307692307692,335800U14J1X4119SP19
pacificethanolstockton llc,pacificethanolstockton,0.9692307692307692,549300ZY77HQIY57IT47
